EmployeeID,Age,Gender,Country,JobRole,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
5035,50,Prefer not to say,Australia,Marketing Manager,Sales,6,43.8,No,6.13,5.8,8.02,4.76,8.9,5.1,26,Yes,7.34,No,3,80K-100K,4.99,13,5.95,0
5036,45,Prefer not to say,Australia,Sales Executive,Operations,3,34.6,Hybrid,4.46,6.47,7.39,5.39,7.0,6.1,10,No,5.9,No,0,100K+,9.22,20,4.7,0
5037,26,Non-binary,USA,Software Engineer,Customer Support,0,43.8,Yes,4.07,6.29,4.92,6.36,7.3,5.5,40,No,6.49,No,3,40K-60K,9.04,4,10.0,0
5038,33,Male,UK,HR Specialist,Sales,0,41.3,No,4.92,5.22,5.56,6.32,4.7,3.5,46,No,4.56,Yes,5,60K-80K,9.08,21,5.67,0
5039,39,Non-binary,Canada,Operations Lead,HR,2,33.8,Yes,5.75,4.77,8.99,9.31,3.9,0.4,19,No,8.86,No,4,80K-100K,7.12,3,7.94,0
5040,34,Male,India,Marketing Manager,Sales,1,39.4,No,6.03,5.23,6.44,5.07,5.8,5.8,104,Yes,5.32,Yes,6,100K+,5.02,9,6.31,0
5041,28,Male,Australia,Customer Success,Operations,1,46.9,No,4.44,7.42,2.84,5.66,6.4,2.8,83,No,4.24,Yes,2,40K-60K,6.26,11,5.41,0
5042,35,Prefer not to say,UK,Customer Success,Sales,4,54.7,Hybrid,6.1,9.3,6.56,4.22,6.3,4.2,3,No,7.42,No,2,100K+,5.91,16,5.12,0
5043,27,Prefer not to say,India,Product Manager,Marketing,4,34.9,No,3.68,2.45,3.48,5.87,6.8,3.9,38,No,7.17,Yes,4,<40K,8.87,6,2.81,0
5044,34,Male,India,Sales Executive,Marketing,8,46.9,Yes,5.23,6.13,6.31,6.06,8.9,4.6,24,Yes,5.84,No,6,40K-60K,6.04,14,5.56,0
5045,39,Prefer not to say,UK,Sales Executive,Engineering,12,33.5,Yes,4.68,4.85,6.06,5.9,7.5,3.1,35,No,5.01,Yes,5,60K-80K,7.33,3,6.24,0
5046,32,Male,Canada,Operations Lead,Engineering,0,48.1,No,6.18,7.4,7.81,6.55,6.3,3.6,71,No,6.34,Yes,5,<40K,5.19,17,7.62,0
5047,30,Female,Canada,Software Engineer,Sales,4,39.9,Yes,5.4,7.43,6.9,4.99,5.4,3.4,57,Yes,1.0,Yes,3,100K+,6.95,19,6.83,0
5048,38,Female,Canada,Data Scientist,Engineering,1,41.4,Hybrid,4.07,8.65,2.54,4.47,6.8,4.2,7,No,3.79,No,1,100K+,4.95,16,7.94,0
5049,30,Non-binary,India,Sales Executive,Sales,0,30.3,No,4.84,6.1,7.37,5.98,6.5,3.8,37,Yes,7.14,Yes,7,40K-60K,6.01,15,4.0,0
5050,34,Non-binary,Germany,HR Specialist,Finance,9,40.7,No,4.4,6.84,4.26,5.45,8.3,3.5,11,Yes,7.44,No,6,<40K,7.28,24,5.3,0
5051,37,Male,Canada,Data Scientist,Finance,3,47.8,Yes,5.28,5.58,7.47,6.79,7.2,3.2,64,Yes,7.47,Yes,4,100K+,8.31,16,4.64,0
5052,45,Prefer not to say,USA,Product Manager,Finance,2,53.5,No,5.2,5.86,5.6,5.62,6.4,2.1,44,No,5.98,No,9,40K-60K,7.79,25,4.17,0
5053,21,Male,Australia,Operations Lead,HR,0,36.4,No,4.29,3.86,3.2,4.75,6.3,2.2,39,Yes,7.24,No,2,80K-100K,4.83,7,8.3,0
5054,32,Non-binary,UK,Software Engineer,Marketing,2,47.3,Hybrid,6.28,3.44,8.24,6.19,5.1,6.6,22,Yes,5.26,No,1,40K-60K,6.23,17,6.43,0
5055,24,Male,Germany,Operations Lead,HR,10,38.9,No,5.42,6.07,5.92,6.83,7.4,1.5,18,Yes,9.64,No,5,40K-60K,4.89,11,7.32,0
5056,34,Male,India,Data Scientist,Sales,0,43.0,Yes,5.55,4.7,5.01,4.84,6.8,3.0,63,No,7.17,Yes,5,100K+,3.18,6,4.14,0
5057,27,Non-binary,UK,Operations Lead,Customer Support,1,44.0,Yes,5.5,6.59,7.22,6.08,7.3,3.5,68,Yes,9.21,No,6,100K+,6.13,5,4.86,0
5058,31,Prefer not to say,Australia,Customer Success,Product,5,41.2,Yes,5.36,6.49,6.56,6.48,8.1,4.3,0,No,6.72,No,0,40K-60K,5.21,16,10.0,0
5059,37,Male,USA,Sales Executive,Product,0,44.1,Hybrid,5.73,7.08,9.58,5.0,6.7,1.3,56,No,6.75,Yes,3,40K-60K,8.77,22,4.97,0
5060,34,Male,Australia,Customer Success,Engineering,2,39.0,Hybrid,4.57,6.58,3.45,6.15,6.1,7.4,48,No,7.24,No,1,80K-100K,6.45,17,5.28,0
5061,42,Female,Canada,Data Scientist,Customer Support,2,44.6,Hybrid,6.22,7.35,6.15,6.21,5.7,3.7,42,Yes,5.05,No,4,<40K,3.39,7,10.0,0
5062,55,Non-binary,USA,Software Engineer,Finance,5,33.2,No,4.67,5.52,4.29,6.49,7.2,6.6,4,No,6.69,Yes,6,80K-100K,4.39,12,6.46,0
5063,43,Female,Canada,Operations Lead,Finance,5,39.1,No,5.84,5.33,7.37,4.18,6.1,4.3,25,No,7.75,No,5,40K-60K,5.38,19,6.23,0
5064,51,Female,Germany,Product Manager,Marketing,1,40.4,Hybrid,5.07,7.5,3.79,4.54,7.5,2.3,26,Yes,6.54,Yes,4,100K+,4.5,23,9.19,0
5065,25,Female,Australia,Customer Success,Finance,3,47.2,Yes,6.13,9.0,7.21,6.43,5.9,3.9,65,No,7.09,No,5,100K+,5.07,19,4.3,0
5066,38,Male,India,Customer Success,Operations,11,42.8,No,5.12,8.28,4.0,5.21,3.1,5.9,52,Yes,7.91,Yes,5,40K-60K,6.46,8,8.32,0
5067,53,Non-binary,UK,Customer Success,Engineering,0,38.0,Hybrid,4.88,5.16,4.62,5.03,6.1,3.5,26,No,6.8,No,5,60K-80K,5.75,10,5.24,0
5068,34,Female,India,Sales Executive,Customer Support,3,43.9,No,5.64,6.78,7.86,4.96,8.4,4.8,25,Yes,8.81,No,3,60K-80K,6.1,10,5.04,0
5069,26,Non-binary,USA,Data Scientist,Engineering,0,42.6,Yes,5.44,5.12,8.55,6.84,8.1,1.7,22,Yes,4.11,Yes,4,<40K,6.53,10,6.4,0
5070,37,Male,Canada,Operations Lead,Product,19,44.8,Hybrid,5.65,5.74,6.54,4.46,6.5,4.3,59,Yes,7.96,Yes,5,100K+,5.19,16,8.05,0
5071,30,Female,USA,Operations Lead,Marketing,10,48.1,Hybrid,5.54,4.67,7.94,5.48,7.7,5.7,59,No,5.42,No,7,80K-100K,7.94,15,4.95,0
5072,29,Prefer not to say,Canada,Data Scientist,Operations,1,42.4,Yes,4.48,4.62,3.4,5.97,6.2,3.5,45,No,6.72,Yes,3,40K-60K,5.79,15,4.83,0
5073,43,Male,Germany,Product Manager,Operations,1,42.2,No,5.15,6.45,5.11,4.46,7.7,5.4,71,No,5.12,Yes,6,<40K,5.24,12,6.39,0
5074,22,Prefer not to say,Canada,Operations Lead,HR,3,45.3,Hybrid,4.87,7.82,6.53,6.76,7.1,3.6,0,Yes,6.7,No,6,100K+,8.11,20,5.88,0
5075,38,Male,India,Product Manager,Product,0,39.8,No,4.83,7.44,6.12,6.3,6.6,3.2,101,No,8.92,No,7,60K-80K,6.71,14,6.77,0
5076,30,Female,USA,Marketing Manager,Operations,1,42.1,Hybrid,6.36,8.13,7.16,6.78,7.2,4.6,78,Yes,7.37,No,4,60K-80K,2.72,18,6.12,0
5077,47,Male,USA,Data Scientist,HR,2,45.2,No,5.14,8.9,5.09,5.15,7.5,2.1,69,No,5.39,No,4,60K-80K,4.89,13,6.71,0
5078,21,Prefer not to say,Germany,HR Specialist,Operations,23,42.5,Hybrid,5.38,7.04,6.69,4.24,6.3,3.9,110,No,6.49,No,3,40K-60K,6.64,14,4.26,0
5079,42,Female,UK,HR Specialist,Marketing,6,49.3,No,4.63,7.27,2.18,4.84,4.9,4.5,69,Yes,4.4,No,2,100K+,5.46,18,7.81,0
5080,37,Prefer not to say,Germany,Data Scientist,Customer Support,3,34.4,No,5.13,5.09,7.97,5.42,6.3,5.4,22,No,9.01,Yes,7,<40K,8.34,3,5.06,0
5081,24,Male,India,Operations Lead,Customer Support,1,41.2,Yes,4.61,6.68,5.91,3.91,6.8,4.1,35,No,6.49,No,2,80K-100K,7.74,5,7.67,0
5082,37,Male,Germany,Software Engineer,Customer Support,11,36.2,Yes,4.24,8.13,2.91,5.69,5.6,3.6,64,Yes,6.59,No,3,<40K,6.21,18,6.03,0
5083,36,Male,Canada,Operations Lead,Operations,3,39.6,No,5.16,5.02,6.76,4.42,7.1,7.1,80,Yes,6.04,No,2,80K-100K,7.83,11,2.64,0
5084,21,Male,Canada,Operations Lead,Marketing,1,36.2,Hybrid,5.26,8.53,7.27,5.63,6.4,5.5,52,No,5.55,No,3,100K+,6.47,18,3.57,0
5085,29,Prefer not to say,USA,Marketing Manager,Operations,1,35.1,No,4.03,7.97,3.18,7.51,5.7,2.9,49,No,4.01,No,3,100K+,7.36,16,6.27,0
5086,26,Non-binary,UK,Marketing Manager,Finance,5,53.3,Yes,5.33,9.11,4.8,5.43,5.5,5.0,51,No,8.47,No,4,60K-80K,6.59,20,5.36,0
5087,24,Non-binary,USA,Product Manager,Sales,3,33.5,No,5.62,6.28,8.57,6.47,5.4,3.9,23,No,6.68,No,2,100K+,7.42,10,6.39,0
5088,33,Prefer not to say,UK,HR Specialist,Product,3,39.0,No,6.41,6.54,9.66,7.38,7.6,5.4,40,Yes,4.2,No,2,<40K,4.83,11,5.93,0
5089,29,Non-binary,Germany,Marketing Manager,Customer Support,0,38.0,No,6.27,4.17,7.33,5.02,5.9,3.4,36,Yes,4.48,Yes,1,<40K,2.48,16,5.68,0
5090,31,Female,UK,Product Manager,Customer Support,6,30.0,Yes,4.73,7.97,6.44,8.39,6.7,6.2,116,No,4.29,Yes,0,100K+,6.32,19,2.12,0
5091,31,Prefer not to say,UK,Marketing Manager,Operations,7,49.2,No,5.89,7.77,6.46,5.3,6.4,3.9,0,Yes,7.46,Yes,2,100K+,4.91,13,6.9,0
5092,34,Male,India,Customer Success,Product,0,33.9,Yes,4.51,8.71,6.41,4.2,7.2,1.4,30,No,6.65,No,5,100K+,7.77,24,7.57,0
5093,42,Male,USA,Operations Lead,HR,2,50.2,Hybrid,5.99,6.09,6.18,6.7,5.8,5.9,23,Yes,3.68,No,2,80K-100K,4.91,14,6.2,0
5094,28,Female,USA,Sales Executive,Marketing,7,38.7,Yes,4.87,7.44,5.16,6.29,7.2,2.4,50,No,7.97,No,3,60K-80K,5.74,18,6.04,0
5095,38,Male,Australia,Product Manager,Engineering,2,51.1,Yes,6.59,4.72,8.46,6.05,6.2,4.8,41,Yes,3.27,No,3,40K-60K,4.83,19,6.65,0
5096,38,Female,Canada,Marketing Manager,HR,1,43.0,Yes,4.25,3.62,4.06,4.13,6.0,6.3,3,Yes,4.91,No,7,40K-60K,7.33,10,7.18,0
5097,47,Prefer not to say,USA,Software Engineer,Marketing,2,35.3,Yes,4.7,3.98,4.29,7.6,5.9,2.3,56,Yes,9.1,Yes,5,80K-100K,5.96,5,5.75,0
5098,39,Prefer not to say,Canada,Marketing Manager,Product,1,41.8,No,3.53,5.6,2.68,6.67,6.7,4.9,15,Yes,2.16,Yes,4,60K-80K,9.91,20,8.73,0
5099,42,Male,UK,Product Manager,Product,11,53.2,Hybrid,6.12,8.26,8.07,8.47,9.0,4.5,1,Yes,6.79,No,0,80K-100K,6.49,25,8.15,0
5100,37,Prefer not to say,Canada,Operations Lead,Finance,2,40.1,Yes,5.89,6.11,6.48,4.37,6.3,3.5,53,No,9.7,No,2,100K+,4.42,17,5.74,0
5101,31,Male,Germany,Product Manager,Operations,2,51.1,Hybrid,4.49,6.5,4.48,5.21,6.0,5.4,47,No,5.89,No,4,100K+,9.32,9,2.85,0
5102,27,Male,India,Product Manager,HR,7,35.6,Yes,5.63,5.21,7.11,7.27,6.9,5.6,59,Yes,8.62,Yes,3,100K+,3.43,14,5.58,0
5103,42,Non-binary,Canada,Marketing Manager,Engineering,18,41.4,No,5.46,5.64,5.38,7.28,6.5,3.1,0,Yes,5.55,No,3,80K-100K,4.96,18,6.12,0
5104,30,Non-binary,India,Marketing Manager,Finance,2,37.6,Hybrid,6.05,5.58,6.75,4.32,6.2,4.4,100,No,5.98,No,4,100K+,3.41,15,9.28,0
5105,46,Non-binary,USA,Product Manager,Engineering,0,50.6,Hybrid,5.29,8.99,7.05,7.34,6.5,4.9,4,No,4.21,No,6,40K-60K,7.78,11,6.01,0
5106,23,Male,Germany,Customer Success,Customer Support,1,48.1,Hybrid,5.5,5.11,7.65,4.81,7.3,4.4,32,Yes,3.86,No,3,100K+,8.25,8,7.36,0
5107,27,Prefer not to say,Canada,HR Specialist,Engineering,4,45.4,Yes,5.17,7.96,6.82,6.79,8.1,4.6,46,No,4.38,No,5,80K-100K,8.69,7,5.57,0
5108,35,Non-binary,Canada,Operations Lead,Marketing,0,38.1,No,5.64,7.71,4.92,5.47,7.5,5.4,73,No,7.11,No,7,40K-60K,1.38,7,4.82,0
5109,34,Female,UK,HR Specialist,Marketing,2,56.5,No,7.34,6.8,8.99,5.42,6.1,4.3,53,No,5.29,Yes,3,100K+,4.88,19,5.68,0
5110,38,Female,Canada,HR Specialist,Operations,7,44.4,Hybrid,6.47,6.48,7.83,7.22,7.1,5.2,38,Yes,9.34,No,5,40K-60K,3.68,12,4.91,0
5111,44,Prefer not to say,UK,Operations Lead,HR,0,30.5,Hybrid,4.6,4.94,5.76,6.77,6.8,2.5,67,No,7.64,No,3,<40K,7.22,8,9.67,0
5112,44,Prefer not to say,USA,Operations Lead,Marketing,3,47.4,Hybrid,5.4,4.46,4.33,5.2,7.5,5.9,65,Yes,3.34,No,7,60K-80K,3.44,4,5.82,0
5113,42,Male,Germany,HR Specialist,Sales,0,39.6,No,4.59,3.78,5.26,6.11,7.1,2.3,101,No,5.05,No,7,40K-60K,6.8,15,4.42,0
5114,46,Male,UK,Data Scientist,Sales,7,34.5,Yes,5.2,5.73,3.92,3.34,5.6,4.8,52,Yes,4.2,No,1,<40K,3.6,12,6.66,0
5115,49,Male,India,Marketing Manager,HR,0,35.0,No,4.18,4.74,3.62,6.12,6.0,7.3,31,Yes,5.13,No,4,40K-60K,6.62,24,8.74,0
5116,28,Male,UK,HR Specialist,Operations,4,45.0,Hybrid,4.29,4.54,4.84,6.79,7.4,2.9,100,No,5.6,No,6,40K-60K,8.1,25,7.78,0
5117,50,Female,Australia,Sales Executive,Customer Support,3,58.0,Yes,6.45,4.28,7.12,6.12,8.0,4.1,26,Yes,4.14,Yes,7,60K-80K,5.09,24,3.52,0
5118,30,Prefer not to say,USA,Marketing Manager,Finance,0,34.3,Hybrid,5.28,2.41,6.74,6.88,5.8,3.1,64,Yes,6.61,Yes,4,60K-80K,7.33,6,8.92,0
5119,37,Prefer not to say,India,Customer Success,Customer Support,0,46.0,Hybrid,5.09,6.05,5.0,7.65,6.4,2.9,56,No,7.88,Yes,4,<40K,5.4,21,7.3,0
5120,31,Non-binary,UK,Operations Lead,Finance,0,49.2,No,5.69,5.36,7.53,4.47,6.4,2.5,23,Yes,8.04,No,4,80K-100K,7.26,10,4.6,0
5121,39,Prefer not to say,Germany,Product Manager,HR,8,45.1,No,5.1,5.94,5.38,5.82,5.7,6.6,75,Yes,5.75,Yes,4,<40K,5.37,13,3.53,0
5122,46,Non-binary,Australia,Operations Lead,Engineering,8,46.7,No,5.47,5.63,6.31,4.39,7.2,3.3,12,No,9.59,Yes,7,100K+,5.63,16,8.66,0
5123,30,Male,Australia,Product Manager,Engineering,2,53.5,Yes,5.41,6.07,6.09,4.81,6.8,3.1,5,No,2.61,Yes,3,100K+,5.87,18,4.54,0
5124,37,Non-binary,USA,Data Scientist,Operations,2,41.3,Hybrid,5.02,3.72,5.72,5.79,4.8,2.2,48,Yes,7.71,Yes,3,100K+,9.53,18,9.72,0
5125,29,Non-binary,USA,Operations Lead,HR,0,46.0,Yes,5.69,5.96,6.78,6.6,7.4,3.8,50,Yes,7.54,No,2,100K+,4.49,8,6.05,0
5126,26,Prefer not to say,India,Marketing Manager,Finance,3,37.9,No,5.29,4.98,5.63,3.78,7.8,5.0,48,No,6.53,No,2,100K+,4.1,11,5.31,0
5127,42,Non-binary,USA,Marketing Manager,Operations,0,43.8,Yes,5.13,6.42,5.14,6.13,6.1,2.7,0,No,5.38,No,6,40K-60K,5.06,18,4.64,0
5128,42,Prefer not to say,India,Software Engineer,Finance,9,33.8,Hybrid,5.16,1.66,6.41,5.07,6.2,5.6,58,Yes,10.0,Yes,5,40K-60K,4.61,10,6.2,0
5129,33,Prefer not to say,Germany,Sales Executive,Product,1,44.2,Hybrid,3.97,6.98,3.24,4.86,7.4,4.6,9,Yes,6.72,Yes,1,40K-60K,7.2,17,6.9,0
5130,45,Female,Germany,Operations Lead,Customer Support,8,48.7,No,5.59,4.18,5.61,7.83,5.2,4.3,58,No,3.73,Yes,2,<40K,5.57,21,7.27,0
5131,40,Male,India,Software Engineer,Product,6,44.7,Yes,4.91,6.88,7.36,4.59,7.2,3.1,0,No,3.24,Yes,5,<40K,8.89,16,6.52,0
5132,34,Female,UK,Marketing Manager,HR,0,41.5,Yes,4.54,5.5,5.79,6.11,7.5,2.9,68,No,7.86,No,1,100K+,7.38,12,2.43,0
5133,39,Prefer not to say,Germany,Sales Executive,Finance,0,36.4,Yes,4.29,6.48,5.65,7.58,7.1,3.1,29,No,5.61,No,6,<40K,10.0,8,5.65,0
5134,34,Non-binary,USA,Software Engineer,Sales,0,44.0,No,4.32,7.48,3.08,6.24,7.8,5.3,88,No,4.76,Yes,3,80K-100K,5.16,14,5.85,0
5135,37,Prefer not to say,Germany,Data Scientist,Engineering,6,44.4,Yes,5.58,6.85,6.08,7.05,7.1,2.3,45,Yes,5.71,Yes,0,100K+,4.01,12,4.55,0
5136,24,Prefer not to say,India,Software Engineer,Finance,7,45.2,No,5.11,4.56,3.27,6.92,5.1,2.4,40,Yes,4.56,Yes,4,100K+,4.59,14,9.91,0
5137,34,Male,USA,Sales Executive,Customer Support,0,31.4,Yes,5.5,8.7,7.08,6.49,4.7,6.2,26,Yes,3.73,Yes,6,40K-60K,5.27,17,7.37,0
5138,41,Non-binary,Germany,Sales Executive,Product,5,39.6,No,3.82,3.77,2.27,5.91,6.3,4.8,0,Yes,8.9,Yes,5,100K+,6.33,17,5.64,0
5139,40,Male,UK,Software Engineer,HR,0,43.7,No,4.52,7.4,4.95,8.33,6.6,4.6,19,Yes,3.31,No,4,40K-60K,7.39,13,9.34,0
5140,41,Male,Australia,Sales Executive,Operations,1,41.7,Yes,6.24,6.47,10.0,5.73,6.3,2.8,34,No,5.4,No,1,80K-100K,6.55,18,6.21,0
5141,44,Non-binary,Canada,Product Manager,Customer Support,0,35.2,Yes,5.82,5.61,7.94,8.93,6.0,1.5,68,No,7.62,No,2,100K+,5.19,7,6.51,0
5142,34,Prefer not to say,Germany,Sales Executive,Customer Support,3,34.6,Hybrid,6.11,3.78,10.0,5.48,7.6,5.2,39,No,4.74,Yes,1,80K-100K,3.75,9,7.8,0
5143,32,Non-binary,Australia,Software Engineer,HR,1,44.2,No,4.31,5.17,2.35,4.27,6.8,3.8,83,Yes,6.73,No,2,<40K,6.16,13,7.51,0
5144,49,Prefer not to say,Canada,Customer Success,Marketing,1,44.5,Hybrid,3.44,6.62,1.15,4.16,7.6,5.4,44,Yes,8.62,No,2,40K-60K,8.27,16,6.77,0
5145,32,Male,Australia,Data Scientist,Marketing,10,46.8,No,5.83,6.91,8.11,5.37,5.9,4.0,42,Yes,4.96,No,3,80K-100K,7.84,14,3.86,0
5146,38,Male,Australia,Software Engineer,Operations,3,44.8,Yes,3.87,4.82,1.65,4.76,6.3,2.7,13,No,8.63,Yes,3,60K-80K,6.16,12,3.64,0
5147,37,Male,USA,Marketing Manager,Marketing,2,39.2,Yes,5.44,5.46,7.46,5.35,6.7,3.1,62,Yes,6.82,No,4,60K-80K,5.91,6,8.4,0
5148,21,Non-binary,USA,Software Engineer,Finance,1,46.3,No,5.71,5.63,6.92,7.22,5.1,1.2,35,Yes,7.08,No,6,100K+,6.51,11,5.97,0
5149,44,Male,Germany,Product Manager,Sales,1,45.4,No,4.86,6.4,3.52,4.98,6.7,3.2,58,Yes,4.86,No,5,40K-60K,6.02,7,4.53,0
5150,45,Female,India,Data Scientist,Marketing,2,45.9,Hybrid,5.43,5.42,4.59,7.17,5.7,3.9,61,No,5.13,No,2,100K+,6.12,18,7.07,0
5151,37,Male,Canada,Data Scientist,Finance,1,45.6,No,6.26,7.08,7.06,5.24,6.9,5.3,52,Yes,4.75,Yes,2,40K-60K,3.41,10,4.26,0
